Computer,TotalMemoryGB,UsedMemoryPercentageWithSymbol,"Free_RAM",FreeMemoryGB,UsedMemoryGB,UsedMemoryPercentage
ACMDPAP124,32,"24.93%",Healthy,"24.020843805466807","7.979156194533193","24.93"
DMSPSAP122,32,"24.54%",Healthy,"24.14629474431818","7.85370525568182","24.54"
PREMSPSBD50,32,"24.41%",Healthy,"24.188441051136365","7.8115589488636346","24.41"
DMSPSPR91,32,"24.15%",Healthy,"24.270560014204545","7.729439985795455","24.15"
ACMDPBD68,32,"24.05%",Healthy,"24.303970358537452","7.696029641462548","24.05"
ACMDPPR123,32,"23.85%",Healthy,"24.36808327414773","7.631916725852271","23.85"
PREMSPSBD103,32,"23.68%",Healthy,"24.423142172523963","7.5768578274760365","23.68"
PREMSPSBD61,32,"23.25%",Healthy,"24.55851260653409","7.441487393465909","23.25"
ACMDPPR121,32,"23.06%",Healthy,"24.620259053954175","7.379740946045825","23.06"
ACMDPPR131,32,"22.55%",Healthy,"24.78512371317004","7.214876286829959","22.55"
DMSPSPR122,32,"22.49%",Healthy,"24.802339016160538","7.197660983839462","22.49"
DMSPSBD101,32,"22.42%",Healthy,"24.82587995027526","7.174120049724738","22.42"
PREMSPSPR92,32,"22.11%",Healthy,"24.92532806674951","7.074671933250489","22.11"
DMSPSPR51,32,"22.06%",Healthy,"24.93971075994318","7.060289240056822","22.06"
PREMSPSBD25,32,"21.98%",Healthy,"24.96611345880682","7.03388654119318","21.98"
DMSPSPR56,32,"21.93%",Healthy,"24.980936967329544","7.019063032670456","21.93"
DMSPSPR231,32,"21.62%",Healthy,"25.081277649565063","6.918722350434937","21.62"
ACMDPPR132,32,"21.44%",Healthy,"25.13886865459709","6.86113134540291","21.44"
DMSPSBD30,32,"21.44%",Healthy,"25.13904314630682","6.860956853693182","21.44"
DMSPSPR132,32,"21.21%",Healthy,"25.213973371205398","6.786026628794602","21.21"
PREMSPSBD11,32,"21.16%",Healthy,"25.227876065340908","6.772123934659092","21.16"
DMSPSBD60,32,"20.89%",Healthy,"25.31413210227273","6.68586789772727","20.89"
ACMDPPR93,98,"20.88%",Healthy,"77.53892811501598","20.461071884984023","20.88"
ACMDPPR96,98,"20.84%",Healthy,"77.57304650337238","20.42695349662762","20.84"
ACMDPBD151,98,"20.79%",Healthy,"77.62268074534161","20.37731925465839","20.79"
EMSPSAP22,32,"20.71%",Healthy,"25.372866572036905","6.627133427963095","20.71"
ACMDPPR94,98,"20.36%",Healthy,"78.04746254881078","19.952537451189215","20.36"
PREMSPSPR30,32,"20.19%",Healthy,"25.537989881058053","6.462010118941947","20.19"
PREMSPSBD53,32,"20.18%",Healthy,"25.54260895045285","6.457391049547152","20.18"
ACMDPBD152,98,"20.03%",Healthy,"78.36599680511182","19.63400319488818","20.03"
DMSPSBD231,32,"19.81%",Healthy,"25.660359907670458","6.339640092329542","19.81"
PREMSPSPR181,32,"19.46%",Healthy,"25.771280667495116","6.228719332504884","19.46"
ACMDPBD23,98,"19.43%",Healthy,"78.95931682641107","19.04068317358893","19.43"
acmdpap200,32,"19.38%",Healthy,"25.799190095846647","6.200809904153353","19.38"
ACMDPPR191,32,"19.31%",Healthy,"25.819287488908603","6.1807125110913965","19.31"
DMSPSAP131,32,"19.29%",Healthy,"25.826050062133856","6.173949937866144","19.29"
ACMDPBD35,32,"19.0%",Healthy,"25.91953017394391","6.080469826056088",19
ACMDPPR57,98,"18.96%",Healthy,"79.4154793256433","18.584520674356696","18.96"
PREMSPSAP134,32,"18.9%",Healthy,"25.950956514022007","6.049043485977993","18.9"
PREMSPSPR232,32,"18.75%",Healthy,"26.00006551846591","5.9999344815340905","18.75"
DMSPSBD61,32,"18.65%",Healthy,"26.033407598082725","5.966592401917275","18.65"
PREMSPSBD127,32,"18.37%",Healthy,"26.12025213068182","5.87974786931818","18.37"
PREMSPSPR134,32,"18.34%",Healthy,"26.132704295349665","5.867295704650335","18.34"
"vm-msps-prod-ap",16,"18.23%",Healthy,"13.083329370008872","2.9166706299911276","18.23"
DMSPSBD221,32,"18.1%",Healthy,"26.208725852272728","5.791274147727272","18.1"
ACMDPAP191,32,"18.08%",Healthy,"26.2156936313642","5.7843063686358","18.08"
DMSPSBD54,32,"18.03%",Healthy,"26.230709213562932","5.769290786437068","18.03"
PREMSPSPR201,32,"17.97%",Healthy,"26.25058601100657","5.749413988993432","17.97"
ACMDPAP12,262,"17.82%",Healthy,"215.3066709849157","46.69332901508429","17.82"
PREMSPSBD201,32,"17.57%",Healthy,"26.377136920618007","5.622863079381993","17.57"
ACMDPBD51,32,"17.53%",Healthy,"26.390278892242147","5.609721107757853","17.53"
ACMDPPR15,32,"17.48%",Healthy,"26.405311201846263","5.5946887981537365","17.48"
PREMSPSBD186,131,"17.42%",Healthy,"108.17755699573863","22.822443004261373","17.42"
PREMSPSPR131,32,"17.23%",Healthy,"26.487255545696538","5.512744454303462","17.23"
