Computer,Disk,DiskMBPerSecondAverage
ACMDPBD192,"X:",0
ACMDPBD195,"F:","13174.6"
ACMDPBD195,"E:","4208.57"
ACMDPBD195,"C:","280.17"
ACMDPBD195,"H:","229.27"
ACMDPBD195,"G:","91.93"
ACMDPBD195,"P:","64.85"
ACMDPBD195,"D:","11.36"
ACMDPBD195,"X:",0
ACMDPBD201,"F:","3097.76"
ACMDPBD201,"E:","534.22"
ACMDPBD201,"C:","168.09"
ACMDPBD201,"D:","6.06"
ACMDPBD201,"P:",0
ACMDPBD202,"C:","150.56"
ACMDPBD202,"F:","11.36"
ACMDPBD202,"D:","4.61"
ACMDPBD202,"E:","2.2"
ACMDPBD202,"P:",0
ACMDPBD212,"C:","158.61"
ACMDPBD212,"H:","9.65"
ACMDPBD212,"D:","4.32"
ACMDPBD212,"F:","0.25"
ACMDPBD212,"E:","0.18"
ACMDPBD213,"C:","799.71"
ACMDPBD213,"E:","552.41"
ACMDPBD213,"F:","31.22"
ACMDPBD213,"H:","6.55"
ACMDPBD213,"D:","5.8"
ACMDPBD216,"K:","8123.14"
ACMDPBD216,"E:","1837.43"
ACMDPBD216,"J:","935.59"
ACMDPBD216,"L:","509.56"
ACMDPBD216,"H:","498.55"
ACMDPBD216,"C:","380.55"
ACMDPBD216,"F:","188.47"
ACMDPBD216,"I:","78.58"
ACMDPBD216,"P:","54.44"
ACMDPBD216,"D:","4.96"
ACMDPBD220,"C:","243.46"
ACMDPBD220,"D:","8.71"
ACMDPBD222,"K:","5859.73"
ACMDPBD222,"E:","1455.96"
ACMDPBD222,"J:","857.61"
ACMDPBD222,"C:","466.99"
ACMDPBD222,"L:","419.27"
ACMDPBD222,"H:","416.87"
ACMDPBD222,"F:","188.5"
ACMDPBD222,"P:","117.09"
ACMDPBD222,"I:","71.64"
ACMDPBD222,"D:","4.74"
ACMDPBD222,"M:",0
ACMDPBD223,"E:","509.89"
ACMDPBD223,"J:","276.5"
ACMDPBD223,"I:","239.46"
ACMDPBD223,"C:","135.71"
ACMDPBD223,"K:","99.39"
ACMDPBD223,"F:","7.63"
ACMDPBD223,"D:","6.72"
ACMDPBD223,"H:","0.02"
ACMDPBD225,"C:","141.46"
ACMDPBD225,"D:","11.61"
ACMDPBD225,"H:","4.03"
ACMDPBD225,"E:","0.26"
ACMDPBD225,"F:","0.22"
ACMDPBD225,"K:","0.01"
ACMDPBD225,"J:","0.01"
ACMDPBD225,"I:",0
ACMDPBD226,"C:","186.84"
ACMDPBD226,"D:","1.88"
ACMDPBD226,"H:","0.01"
ACMDPBD226,"J:",0
ACMDPBD226,"I:",0
ACMDPBD226,"F:",0
ACMDPBD226,"K:",0
ACMDPBD226,"E:",0
ACMDPBD23,"E:","13481.61"
ACMDPBD23,"C:","152.21"
ACMDPBD23,"H:","34.18"
ACMDPBD23,"I:","3.92"
ACMDPBD23,"D:","1.85"
ACMDPBD23,"F:","0.04"
ACMDPBD230,"E:","1725.41"
ACMDPBD230,"F:","678.25"
ACMDPBD230,"C:","157.07"
ACMDPBD230,"D:","1.63"
ACMDPBD28,"C:","126.27"
ACMDPBD28,"F:","3.89"
ACMDPBD28,"D:","1.14"
ACMDPBD28,"E:","0.05"
ACMDPBD28,"I:",0
ACMDPBD28,"H:",0
ACMDPBD29,"C:","170.31"
ACMDPBD29,"E:","115.24"
ACMDPBD29,"F:","19.21"
ACMDPBD29,"D:","11.45"
ACMDPBD29,"H:","4.41"
ACMDPBD29,"P:",0
ACMDPBD29,"G:",0
ACMDPBD30,"F:","3754.67"
ACMDPBD30,"E:","213.44"
ACMDPBD30,"C:","175.59"
ACMDPBD30,"H:","100.19"
ACMDPBD30,"D:","13.18"
ACMDPBD30,"P:",0
ACMDPBD30,"G:",0
ACMDPBD35,"C:","146.59"
ACMDPBD35,"D:","5.25"
ACMDPBD35,"E:","1.5"
ACMDPBD35,"F:","0.03"
ACMDPBD37,"C:","323.01"
ACMDPBD37,"E:","47.7"
ACMDPBD37,"I:","31.86"
ACMDPBD37,"J:","27.37"
ACMDPBD37,"F:","3.9"
ACMDPBD37,"D:","2.86"
ACMDPBD37,"K:","0.02"
ACMDPBD38,"E:","16179.23"
ACMDPBD38,"N:","774.96"
ACMDPBD38,"H:","656.74"
ACMDPBD38,"M:","574.77"
ACMDPBD38,"C:","290.38"
