Computer,Disk,DiskIOPSAverage
ACMDPBD126,"G:","4.860017280639431"
ACMDPBD126,"H:","51.65659003818829"
ACMDPBD126,"I:","0.2797558390763765"
ACMDPBD126,"J:","0.09081608277087033"
ACMDPBD126,"K:","0.8672490811722913"
ACMDPBD126,"L:","1.2578562376554174"
ACMDPBD126,"M:","5.951048076376555"
ACMDPBD126,"N:","0.0013706024866785079"
ACMDPBD126,"P:","0.00001184120781527531"
ACMDPBD126,"Q:","0.29072896305506213"
ACMDPBD126,"R:","0.10023140763765541"
ACMDPBD126,"S:","0.5918116255772646"
ACMDPBD126,"T:","0.5142300078152753"
ACMDPBD126,"X:","0.00001184120781527531"
ACMDPBD126,"Y:","0.00001184120781527531"
ACMDPBD127,"C:","10.375065197763183"
ACMDPBD127,"D:","0.48739654855316883"
ACMDPBD127,"E:","2.2069005096751284"
ACMDPBD127,"F:","4.6539033143973025"
ACMDPBD127,"G:","0.7297266513403153"
ACMDPBD127,"H:","0.00007396502751642108"
ACMDPBD127,"P:","0.00006508503461743298"
ACMDPBD128,"C:","12.595365428875867"
ACMDPBD128,"D:","0.5326746265316995"
ACMDPBD128,"E:","0.7508457542177234"
ACMDPBD128,"F:","37.28554997353933"
ACMDPBD128,"G:","0.6003133581957018"
ACMDPBD128,"H:","0.000038474160895045284"
ACMDPBD128,"P:","0.00004143367075119872"
ACMDPBD136,"C:","9.86700816675546"
ACMDPBD136,"D:","0.9379296957911561"
ACMDPBD136,"E:","33.36140056934825"
ACMDPBD136,"F:","97.1300254255017"
ACMDPBD136,"G:","0.000035516959687444507"
ACMDPBD136,"H:","15.562393170484814"
ACMDPBD136,"I:","0.48559371870005325"
ACMDPBD136,"J:","1.5898122297993251"
ACMDPBD136,"K:","14.713140950808029"
ACMDPBD136,"L:","8.45528338749778"
ACMDPBD136,"M:","2.5682198124667024"
ACMDPBD136,"N:","2.6858166263541112"
ACMDPBD136,"P:","0.000014800213106020248"
ACMDPBD137,"C:","8.921686330314333"
ACMDPBD137,"D:","1.7714604166222694"
ACMDPBD137,"E:","6.846988998401706"
ACMDPBD137,"F:","19.90857604510744"
ACMDPBD137,"G:","0.000014797726869117385"
