Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD123,"F:","65.81%",Warning,"65.81"
ACMDPBD123,"D:","64.31%",Warning,"64.31"
ACMDPBD123,"E:","16.22%",Healthy,"16.22"
ACMDPBD125,"Q:","99.95%",Critical,"99.95"
ACMDPBD125,"Y:","99.94%",Critical,"99.94"
ACMDPBD125,"T:","99.93%",Critical,"99.93"
ACMDPBD125,"S:","99.93%",Critical,"99.93"
ACMDPBD125,"X:","99.92%",Critical,"99.92"
ACMDPBD125,"R:","99.89%",Critical,"99.89"
ACMDPBD125,"G:","87.27%",Warning,"87.27"
ACMDPBD125,"J:","81.67%",Warning,"81.67"
ACMDPBD125,"C:","65.49%",Warning,"65.49"
ACMDPBD125,"I:","62.11%",Warning,"62.11"
ACMDPBD125,"F:","58.57%",Healthy,"58.57"
ACMDPBD125,"D:","58.19%",Healthy,"58.19"
ACMDPBD125,"L:","37.51%",Healthy,"37.51"
ACMDPBD125,"M:","36.43%",Healthy,"36.43"
ACMDPBD125,"N:","32.67%",Healthy,"32.67"
ACMDPBD125,"K:","27.76%",Healthy,"27.76"
ACMDPBD125,"H:","22.82%",Healthy,"22.82"
ACMDPBD125,"P:","19.79%",Healthy,"19.79"
ACMDPBD125,"E:","4.62%",Healthy,"4.62"
ACMDPBD126,"Y:","99.96%",Critical,"99.96"
ACMDPBD126,"X:","99.94%",Critical,"99.94"
ACMDPBD126,"J:","97.46%",Critical,"97.46"
ACMDPBD126,"R:","92.28%",Critical,"92.28"
ACMDPBD126,"Q:","79.08%",Warning,"79.08"
ACMDPBD126,"D:","69.98%",Warning,"69.98"
ACMDPBD126,"F:","57.77%",Healthy,"57.77"
ACMDPBD126,"C:","53.06%",Healthy,"53.06"
ACMDPBD126,"I:","50.76%",Healthy,"50.76"
ACMDPBD126,"L:","37.28%",Healthy,"37.28"
ACMDPBD126,"S:","37.2%",Healthy,"37.2"
ACMDPBD126,"T:","37.18%",Healthy,"37.18"
ACMDPBD126,"M:","36.14%",Healthy,"36.14"
ACMDPBD126,"N:","32.67%",Healthy,"32.67"
ACMDPBD126,"K:","27.76%",Healthy,"27.76"
ACMDPBD126,"H:","22.82%",Healthy,"22.82"
ACMDPBD126,"G:","20.12%",Healthy,"20.12"
ACMDPBD126,"P:","19.79%",Healthy,"19.79"
ACMDPBD126,"E:","4.62%",Healthy,"4.62"
ACMDPBD127,"H:","99.81%",Critical,"99.81"
ACMDPBD127,"G:","78.02%",Warning,"78.02"
ACMDPBD127,"D:","73.51%",Warning,"73.51"
ACMDPBD127,"F:","59.8%",Healthy,"59.8"
