Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
PREMSPSAP131,"D:","96.36%",Critical,"96.36"
PREMSPSAP131,"C:","59.59%",Healthy,"59.59"
PREMSPSAP134,"D:","95.83%",Critical,"95.83"
PREMSPSAP134,"C:","58.38%",Healthy,"58.38"
PREMSPSAP182,"D:","40.95%",Healthy,"40.95"
PREMSPSAP182,"C:","22.77%",Healthy,"22.77"
PREMSPSAP40,"F:","99.97%",Critical,"99.97"
PREMSPSAP40,"D:","86.23%",Warning,"86.23"
PREMSPSAP40,"E:","82.38%",Warning,"82.38"
PREMSPSAP40,"C:","67.39%",Warning,"67.39"
PREMSPSAP61,"D:","98.13%",Critical,"98.13"
PREMSPSAP61,"C:","65.22%",Warning,"65.22"
PREMSPSAP62,"E:","99.88%",Critical,"99.88"
PREMSPSAP62,"D:","96.39%",Critical,"96.39"
PREMSPSAP62,"C:","71.3%",Warning,"71.3"
PREMSPSAP65,"E:","99.94%",Critical,"99.94"
PREMSPSAP65,"D:","99.81%",Critical,"99.81"
PREMSPSAP65,"C:","75.82%",Warning,"75.82"
PREMSPSAP81,"D:","97.63%",Critical,"97.63"
PREMSPSAP81,"C:","38.44%",Healthy,"38.44"
PREMSPSBD103,"H:","99.37%",Critical,"99.37"
PREMSPSBD103,"I:","97.23%",Critical,"97.23"
PREMSPSBD103,"D:","89.06%",Warning,"89.06"
PREMSPSBD103,"F:","47.81%",Healthy,"47.81"
PREMSPSBD103,"C:","47.37%",Healthy,"47.37"
PREMSPSBD103,"E:","35.2%",Healthy,"35.2"
PREMSPSBD11,"E:","90.21%",Critical,"90.21"
PREMSPSBD11,"F:","78.98%",Warning,"78.98"
PREMSPSBD11,"D:","68.69%",Warning,"68.69"
PREMSPSBD11,"C:","39.77%",Healthy,"39.77"
PREMSPSBD115,"J:","95.61%",Critical,"95.61"
PREMSPSBD115,"D:","94.07%",Critical,"94.07"
PREMSPSBD115,"L:","75.47%",Warning,"75.47"
PREMSPSBD115,"H:","32.02%",Healthy,"32.02"
PREMSPSBD115,"C:","18.47%",Healthy,"18.47"
PREMSPSBD122,"G:","79.77%",Warning,"79.77"
PREMSPSBD122,"I:","68.34%",Warning,"68.34"
PREMSPSBD122,"H:","63.83%",Warning,"63.83"
PREMSPSBD122,"D:","54.38%",Healthy,"54.38"
PREMSPSBD122,"F:","44.57%",Healthy,"44.57"
PREMSPSBD122,"E:","22.34%",Healthy,"22.34"
PREMSPSBD122,"C:","11.11%",Healthy,"11.11"
PREMSPSBD123,"G:","87.72%",Warning,"87.72"
PREMSPSBD123,"H:","79.07%",Warning,"79.07"
PREMSPSBD123,"D:","58.46%",Healthy,"58.46"
PREMSPSBD123,"F:","45.52%",Healthy,"45.52"
PREMSPSBD123,"E:","29.5%",Healthy,"29.5"
PREMSPSBD123,"C:","2.55%",Healthy,"2.55"
PREMSPSBD126,"F:","84.62%",Warning,"84.62"
PREMSPSBD126,"Q:","66.25%",Warning,"66.25"
PREMSPSBD126,"G:","57.17%",Healthy,"57.17"
PREMSPSBD126,"I:","52.37%",Healthy,"52.37"
PREMSPSBD126,"N:","42.75%",Healthy,"42.75"
PREMSPSBD126,"M:","37.34%",Healthy,"37.34"
PREMSPSBD126,"R:","36.36%",Healthy,"36.36"
PREMSPSBD126,"K:","36.07%",Healthy,"36.07"
PREMSPSBD126,"D:","34.47%",Healthy,"34.47"
PREMSPSBD126,"C:","29.87%",Healthy,"29.87"
PREMSPSBD126,"L:","29.83%",Healthy,"29.83"
PREMSPSBD126,"E:","18.14%",Healthy,"18.14"
PREMSPSBD126,"J:","17.86%",Healthy,"17.86"
PREMSPSBD126,"H:","15.27%",Healthy,"15.27"
PREMSPSBD127,"E:","72.98%",Warning,"72.98"
PREMSPSBD127,"D:","58.46%",Healthy,"58.46"
PREMSPSBD127,"C:","50.2%",Healthy,"50.2"
PREMSPSBD127,"F:","33.96%",Healthy,"33.96"
PREMSPSBD128,"E:","76.01%",Warning,"76.01"
PREMSPSBD128,"D:","55.57%",Healthy,"55.57"
PREMSPSBD128,"C:","47.43%",Healthy,"47.43"
PREMSPSBD128,"F:","33.96%",Healthy,"33.96"
PREMSPSBD130,"I:","99.1%",Critical,"99.1"
PREMSPSBD130,"E:","89.0%",Warning,89
PREMSPSBD130,"H:","88.59%",Warning,"88.59"
PREMSPSBD130,"D:","66.75%",Warning,"66.75"
PREMSPSBD130,"F:","49.98%",Healthy,"49.98"
PREMSPSBD130,"C:","8.92%",Healthy,"8.92"
PREMSPSBD132,"U:","99.5%",Critical,"99.5"
PREMSPSBD132,"T:","98.46%",Critical,"98.46"
PREMSPSBD132,"D:","66.21%",Warning,"66.21"
PREMSPSBD132,"E:","61.27%",Warning,"61.27"
PREMSPSBD132,"C:","51.12%",Healthy,"51.12"
PREMSPSBD132,"F:","20.5%",Healthy,"20.5"
PREMSPSBD133,"U:","96.99%",Critical,"96.99"
PREMSPSBD133,"T:","80.91%",Warning,"80.91"
PREMSPSBD133,"D:","67.96%",Warning,"67.96"
PREMSPSBD133,"E:","61.21%",Warning,"61.21"
PREMSPSBD133,"C:","56.57%",Healthy,"56.57"
PREMSPSBD133,"F:","20.5%",Healthy,"20.5"
PREMSPSBD141,"F:","91.18%",Critical,"91.18"
PREMSPSBD141,"D:","85.52%",Warning,"85.52"
PREMSPSBD141,"E:","54.08%",Healthy,"54.08"
PREMSPSBD141,"C:","44.01%",Healthy,"44.01"
PREMSPSBD182,"F:","96.38%",Critical,"96.38"
PREMSPSBD182,"D:","44.43%",Healthy,"44.43"
PREMSPSBD182,"H:","34.4%",Healthy,"34.4"
PREMSPSBD182,"E:","30.09%",Healthy,"30.09"
PREMSPSBD182,"C:","11.42%",Healthy,"11.42"
PREMSPSBD183,"F:","65.86%",Warning,"65.86"
PREMSPSBD183,"D:","47.67%",Healthy,"47.67"
PREMSPSBD183,"E:","47.2%",Healthy,"47.2"
PREMSPSBD183,"C:","20.66%",Healthy,"20.66"
PREMSPSBD183,"H:","20.62%",Healthy,"20.62"
PREMSPSBD185,"F:","55.26%",Healthy,"55.26"
PREMSPSBD185,"D:","46.76%",Healthy,"46.76"
PREMSPSBD185,"E:","37.42%",Healthy,"37.42"
PREMSPSBD185,"C:","36.12%",Healthy,"36.12"
PREMSPSBD185,"H:","20.63%",Healthy,"20.63"
PREMSPSBD186,"D:","67.68%",Warning,"67.68"
PREMSPSBD186,"C:","46.44%",Healthy,"46.44"
PREMSPSBD201,"F:","98.55%",Critical,"98.55"
PREMSPSBD201,"D:","63.02%",Warning,"63.02"
PREMSPSBD201,"E:","22.6%",Healthy,"22.6"
PREMSPSBD201,"C:","12.99%",Healthy,"12.99"
PREMSPSBD231,"F:","99.51%",Critical,"99.51"
PREMSPSBD231,"E:","70.1%",Warning,"70.1"
PREMSPSBD231,"D:","65.04%",Warning,"65.04"
PREMSPSBD231,"C:","55.91%",Healthy,"55.91"
PREMSPSBD232,"F:","99.43%",Critical,"99.43"
PREMSPSBD232,"G:","96.79%",Critical,"96.79"
PREMSPSBD232,"E:","90.1%",Critical,"90.1"
PREMSPSBD232,"D:","62.25%",Warning,"62.25"
PREMSPSBD232,"C:","54.87%",Healthy,"54.87"
PREMSPSBD25,"E:","90.36%",Critical,"90.36"
PREMSPSBD25,"F:","89.5%",Warning,"89.5"
PREMSPSBD25,"D:","69.21%",Warning,"69.21"
PREMSPSBD25,"C:","25.81%",Healthy,"25.81"
PREMSPSBD30,"I:","99.96%",Critical,"99.96"
PREMSPSBD30,"E:","81.0%",Warning,81
PREMSPSBD30,"F:","80.38%",Warning,"80.38"
PREMSPSBD30,"H:","71.34%",Warning,"71.34"
PREMSPSBD30,"D:","68.24%",Warning,"68.24"
PREMSPSBD30,"G:","64.72%",Warning,"64.72"
PREMSPSBD30,"C:","49.09%",Healthy,"49.09"
PREMSPSBD35,"Z:","99.93%",Critical,"99.93"
PREMSPSBD35,"F:","86.45%",Warning,"86.45"
PREMSPSBD35,"D:","52.65%",Healthy,"52.65"
PREMSPSBD35,"C:","36.23%",Healthy,"36.23"
PREMSPSBD35,"E:","28.04%",Healthy,"28.04"
PREMSPSBD36,"F:","85.73%",Warning,"85.73"
PREMSPSBD36,"D:","52.82%",Healthy,"52.82"
PREMSPSBD36,"C:","45.59%",Healthy,"45.59"
PREMSPSBD36,"E:","19.47%",Healthy,"19.47"
PREMSPSBD40,"I:","99.96%",Critical,"99.96"
PREMSPSBD40,"F:","99.89%",Critical,"99.89"
PREMSPSBD40,"H:","99.63%",Critical,"99.63"
PREMSPSBD40,"G:","98.42%",Critical,"98.42"
PREMSPSBD40,"E:","90.39%",Critical,"90.39"
PREMSPSBD40,"D:","67.72%",Warning,"67.72"
PREMSPSBD40,"C:","58.15%",Healthy,"58.15"
PREMSPSBD50,"E:","99.47%",Critical,"99.47"
PREMSPSBD50,"F:","97.4%",Critical,"97.4"
PREMSPSBD50,"D:","67.26%",Warning,"67.26"
PREMSPSBD50,"C:","50.79%",Healthy,"50.79"
PREMSPSBD53,"E:","98.71%",Critical,"98.71"
PREMSPSBD53,"F:","98.71%",Critical,"98.71"
PREMSPSBD53,"D:","86.41%",Warning,"86.41"
PREMSPSBD53,"C:","54.19%",Healthy,"54.19"
PREMSPSBD55,"E:","99.65%",Critical,"99.65"
PREMSPSBD55,"F:","99.65%",Critical,"99.65"
PREMSPSBD55,"D:","87.49%",Warning,"87.49"
PREMSPSBD55,"C:","55.42%",Healthy,"55.42"
PREMSPSBD61,"E:","95.42%",Critical,"95.42"
PREMSPSBD61,"F:","91.7%",Critical,"91.7"
PREMSPSBD61,"D:","76.11%",Warning,"76.11"
PREMSPSBD61,"C:","55.31%",Healthy,"55.31"
PREMSPSBD62,"F:","99.88%",Critical,"99.88"
PREMSPSBD62,"E:","99.21%",Critical,"99.21"
PREMSPSBD62,"D:","97.01%",Critical,"97.01"
PREMSPSBD62,"C:","71.5%",Warning,"71.5"
PREMSPSBD63,"I:","99.98%",Critical,"99.98"
PREMSPSBD63,"E:","99.95%",Critical,"99.95"
PREMSPSBD63,"H:","99.73%",Critical,"99.73"
PREMSPSBD63,"D:","97.17%",Critical,"97.17"
PREMSPSBD63,"G:","69.7%",Warning,"69.7"
PREMSPSBD63,"C:","65.95%",Warning,"65.95"
PREMSPSBD63,"F:","27.87%",Healthy,"27.87"
PREMSPSBD70,"I:","99.98%",Critical,"99.98"
PREMSPSBD70,"D:","97.07%",Critical,"97.07"
PREMSPSBD70,"H:","95.78%",Critical,"95.78"
PREMSPSBD70,"F:","79.59%",Warning,"79.59"
PREMSPSBD70,"C:","64.55%",Warning,"64.55"
PREMSPSBD70,"G:","15.97%",Healthy,"15.97"
PREMSPSBD70,"E:","11.65%",Healthy,"11.65"
PREMSPSBD72,"E:","99.21%",Critical,"99.21"
PREMSPSBD72,"F:","98.52%",Critical,"98.52"
PREMSPSBD72,"D:","94.0%",Critical,94
PREMSPSBD72,"C:","71.14%",Warning,"71.14"
PREMSPSBD73,"E:","99.74%",Critical,"99.74"
PREMSPSBD73,"F:","98.52%",Critical,"98.52"
PREMSPSBD73,"D:","94.02%",Critical,"94.02"
PREMSPSBD73,"C:","71.47%",Warning,"71.47"
PREMSPSBD81,"H:","99.98%",Critical,"99.98"
PREMSPSBD81,"I:","99.98%",Critical,"99.98"
PREMSPSBD81,"G:","99.98%",Critical,"99.98"
PREMSPSBD81,"F:","96.68%",Critical,"96.68"
PREMSPSBD81,"D:","95.07%",Critical,"95.07"
PREMSPSBD81,"E:","92.2%",Critical,"92.2"
PREMSPSBD81,"C:","49.35%",Healthy,"49.35"
PREMSPSBD95,"D:","75.5%",Warning,"75.5"
PREMSPSBD95,"F:","57.99%",Healthy,"57.99"
PREMSPSBD95,"C:","45.17%",Healthy,"45.17"
PREMSPSBD95,"E:","10.94%",Healthy,"10.94"
PREMSPSBD96,"F:","96.98%",Critical,"96.98"
PREMSPSBD96,"L:","93.93%",Critical,"93.93"
PREMSPSBD96,"J:","88.22%",Warning,"88.22"
PREMSPSBD96,"D:","86.74%",Warning,"86.74"
PREMSPSBD96,"E:","82.87%",Warning,"82.87"
PREMSPSBD96,"H:","41.23%",Healthy,"41.23"
PREMSPSBD96,"C:","14.0%",Healthy,14
PREMSPSPR101,"D:","98.15%",Critical,"98.15"
PREMSPSPR101,"C:","56.02%",Healthy,"56.02"
PREMSPSPR121,"D:","89.28%",Warning,"89.28"
PREMSPSPR121,"C:","55.03%",Healthy,"55.03"
PREMSPSPR123,"D:","88.14%",Warning,"88.14"
PREMSPSPR123,"C:","68.34%",Warning,"68.34"
PREMSPSPR124,"D:","88.78%",Warning,"88.78"
PREMSPSPR124,"C:","72.35%",Warning,"72.35"
PREMSPSPR131,"D:","92.96%",Critical,"92.96"
PREMSPSPR131,"C:","59.66%",Healthy,"59.66"
PREMSPSPR132,"D:","93.64%",Critical,"93.64"
PREMSPSPR132,"C:","37.35%",Healthy,"37.35"
PREMSPSPR134,"D:","94.65%",Critical,"94.65"
PREMSPSPR134,"C:","55.36%",Healthy,"55.36"
PREMSPSPR135,"D:","95.6%",Critical,"95.6"
PREMSPSPR135,"C:","68.33%",Warning,"68.33"
PREMSPSPR141,"D:","94.77%",Critical,"94.77"
PREMSPSPR141,"C:","53.17%",Healthy,"53.17"
PREMSPSPR181,"D:","92.04%",Critical,"92.04"
PREMSPSPR181,"C:","37.18%",Healthy,"37.18"
PREMSPSPR182,"D:","92.23%",Critical,"92.23"
PREMSPSPR182,"C:","45.86%",Healthy,"45.86"
PREMSPSPR201,"D:","69.83%",Warning,"69.83"
PREMSPSPR201,"C:","43.49%",Healthy,"43.49"
PREMSPSPR211,"D:","98.36%",Critical,"98.36"
PREMSPSPR211,"C:","64.89%",Warning,"64.89"
PREMSPSPR231,"D:","90.27%",Critical,"90.27"
PREMSPSPR231,"C:","59.14%",Healthy,"59.14"
PREMSPSPR232,"D:","95.14%",Critical,"95.14"
PREMSPSPR232,"C:","61.88%",Warning,"61.88"
PREMSPSPR30,"D:","99.8%",Critical,"99.8"
PREMSPSPR30,"H:","99.8%",Critical,"99.8"
PREMSPSPR30,"G:","98.29%",Critical,"98.29"
PREMSPSPR30,"F:","95.57%",Critical,"95.57"
PREMSPSPR30,"E:","79.39%",Warning,"79.39"
PREMSPSPR30,"C:","60.25%",Warning,"60.25"
PREMSPSPR50,"D:","97.7%",Critical,"97.7"
PREMSPSPR50,"C:","61.1%",Warning,"61.1"
PREMSPSPR53,"F:","99.58%",Critical,"99.58"
PREMSPSPR53,"H:","99.58%",Critical,"99.58"
PREMSPSPR53,"D:","98.34%",Critical,"98.34"
PREMSPSPR53,"C:","61.23%",Warning,"61.23"
PREMSPSPR55,"D:","98.51%",Critical,"98.51"
PREMSPSPR55,"C:","68.76%",Warning,"68.76"
PREMSPSPR62,"D:","99.81%",Critical,"99.81"
PREMSPSPR62,"E:","99.18%",Critical,"99.18"
PREMSPSPR62,"C:","76.51%",Warning,"76.51"
PREMSPSPR65,"E:","99.96%",Critical,"99.96"
PREMSPSPR65,"D:","99.72%",Critical,"99.72"
PREMSPSPR65,"C:","77.81%",Warning,"77.81"
PREMSPSPR66,"F:","99.98%",Critical,"99.98"
PREMSPSPR66,"G:","99.97%",Critical,"99.97"
PREMSPSPR66,"D:","99.81%",Critical,"99.81"
PREMSPSPR66,"E:","92.65%",Critical,"92.65"
PREMSPSPR66,"C:","80.56%",Warning,"80.56"
PREMSPSPR91,"D:","90.28%",Critical,"90.28"
PREMSPSPR91,"C:","43.16%",Healthy,"43.16"
PREMSPSPR92,"D:","91.0%",Critical,91
PREMSPSPR92,"C:","58.79%",Healthy,"58.79"
acmdpap200,"C:","94.37%",Critical,"94.37"
"az-msps-vm-veea","D:","91.3%",Critical,"91.3"
"az-msps-vm-veea","C:","15.76%",Healthy,"15.76"
"vm-msps-prod-ap","D:","92.28%",Critical,"92.28"
"vm-msps-prod-ap","C:","86.83%",Warning,"86.83"
